"Column name","Requested field","DwC Name","Field name","Field description","Download field name","Download field description","More information"
"Event Date - parsed","occurrence_date","eventDate","occurrence_date","Date (by decade)","occurrence_date","Event Date - parsed","http://rs.tdwg.org/dwc/terms/eventDate"
"Verbatim event date","verbatim_event_date","verbatimEventDate","verbatim_event_date","Verbatim event date","verbatim_event_date","Verbatim event date","http://rs.tdwg.org/dwc/terms/verbatimEventDate"
"Basis Of Record - original","raw_basis_of_record","verbatimBasisOfRecord","raw_basis_of_record","Basis Of Record - original","raw_basis_of_record","Basis Of Record - original","The basis of record as supplied by the data publisher http://rs.tdwg.org/dwc/terms/verbatimBasisOfRecord"
"Basis Of Record","basis_of_record","basisOfRecord","basis_of_record","Record type","basis_of_record","Basis Of Record","The basis of record e.g. Specimen, Observation http://rs.tdwg.org/dwc/terms/basisOfRecord"
"Occurrence status","occurrence_status","occurrenceStatus","occurrence_status","Presence/Absence","occurrence_status","Occurrence status","http://rs.tdwg.org/dwc/terms/occurrenceStatus"
"Sex","raw_sex","sex","raw_sex","Sex","raw_sex","Sex","http://rs.tdwg.org/dwc/terms/sex"
"Preparations","preparations","preparations","preparations","Preparations","preparations","Preparations","http://rs.tdwg.org/dwc/terms/preparations"
"Outlier for layer","outlier_layer","","outlier_layer","Outlier for layer","outlier_layer","Outlier for layer",""
"Taxonomic Quality","taxonomic_kosher","","taxonomic_kosher","Taxonomic Quality","taxonomic_kosher","Taxonomic Quality","A flag indicating if there are serious taxonomic problems with a record. false indicates problems."
"Location Quality","geospatial_kosher","","geospatial_kosher","Spatial validity","geospatial_kosher","Location Quality","A single value statement on the spatial validity. Records that have failed 1 or more critical geospatial data quality tests have a value of false"
